idx,network_modifiers
1,"{""0"":[0.2,0.2,0.7,0.2,0.25],""1"":[0.15,0.1,0.95,0.05,0.05],""2"":[0.15,0.35,0.6,0.25,0.15],""3"":[0.3,0.2,0.85,0.1,0.2],""4"":[0.2,0.15,0.75,0.4,0.5]}"
2,"{""0"":[0.15,0.25,0.8,0.4,0.5],""1"":[0.15,0.2,0.7,0.4,0.45],""2"":[0.25,0.15,0.75,0.5,0.2],""3"":[0.15,0.15,0.6,0.5,0.4],""4"":[0.3,0.25,0.95,0.1,0.3]}"
3,"{""0"":[0.2,0.25,0.6,0.35,0.2],""1"":[0.2,0.15,0.75,0.5,0.2],""2"":[0.2,0.15,0.8,0.35,0.1],""3"":[0.2,0.2,0.6,0.2,0.05],""4"":[0.2,0.25,0.8,0.05,0.4]}"
4,"{""0"":[0.15,0.15,0.95,0.4,0.1],""1"":[0.25,0.2,0.75,0.25,0.1],""2"":[0.15,0.15,0.6,0.1,0.35],""3"":[0.15,0.4,0.6,0.1,0.1],""4"":[0.3,0.1,0.95,0.4,0.15]}"
5,"{""0"":[0.1,0.25,0.9,0.3,0.3],""1"":[0.35,0.05,0.7,0.45,0.3],""2"":[0.2,0.1,1.0,0.45,0.4],""3"":[0.15,0.4,0.95,0.1,0.15],""4"":[0.2,0.2,0.5,0.25,0.5]}"
6,"{""0"":[0.25,0.2,0.95,0.2,0.5],""1"":[0.15,0.15,0.5,0.25,0.3],""2"":[0.3,0.25,0.85,0.5,0.45],""3"":[0.1,0.15,0.95,0.3,0.25],""4"":[0.2,0.25,0.7,0.15,0.4]}"
7,"{""0"":[0.3,0.25,0.8,0.15,0.45],""1"":[0.25,0.15,1.0,0.05,0.15],""2"":[0.05,0.15,0.95,0.4,0.4],""3"":[0.05,0.3,0.8,0.4,0.5],""4"":[0.35,0.15,0.8,0.5,0.05]}"
8,"{""0"":[0.15,0.1,0.85,0.5,0.1],""1"":[0.25,0.25,0.8,0.05,0.25],""2"":[0.1,0.25,0.8,0.1,0.45],""3"":[0.35,0.15,0.55,0.3,0.2],""4"":[0.15,0.25,0.95,0.25,0.2]}"
9,"{""0"":[0.1,0.15,0.75,0.25,0.1],""1"":[0.15,0.2,1.0,0.4,0.05],""2"":[0.25,0.25,0.7,0.15,0.1],""3"":[0.15,0.2,0.75,0.5,0.5],""4"":[0.35,0.2,1.0,0.35,0.35]}"
10,"{""0"":[0.15,0.2,0.5,0.35,0.15],""1"":[0.15,0.3,0.95,0.45,0.1],""2"":[0.3,0.2,0.7,0.5,0.2],""3"":[0.05,0.15,0.65,0.3,0.5],""4"":[0.35,0.15,0.7,0.3,0.2]}"
11,"{""0"":[0.35,0.35,0.95,0.15,0.25],""1"":[0.15,0.1,0.8,0.25,0.2],""2"":[0.15,0.2,0.55,0.3,0.05],""3"":[0.25,0.2,0.6,0.35,0.35],""4"":[0.1,0.15,0.8,0.2,0.25]}"
12,"{""0"":[0.15,0.25,0.7,0.35,0.3],""1"":[0.25,0.1,0.95,0.5,0.05],""2"":[0.2,0.25,0.9,0.3,0.25],""3"":[0.2,0.25,0.75,0.35,0.1],""4"":[0.2,0.15,0.7,0.5,0.25]}"
13,"{""0"":[0.2,0.2,0.85,0.15,0.1],""1"":[0.2,0.1,0.95,0.25,0.15],""2"":[0.3,0.35,0.75,0.35,0.3],""3"":[0.15,0.15,0.7,0.25,0.5],""4"":[0.15,0.2,0.75,0.25,0.2]}"
14,"{""0"":[0.3,0.3,0.5,0.1,0.25],""1"":[0.15,0.15,0.7,0.25,0.4],""2"":[0.1,0.2,0.6,0.05,0.45],""3"":[0.25,0.2,0.7,0.15,0.2],""4"":[0.2,0.15,0.6,0.25,0.35]}"
15,"{""0"":[0.3,0.2,0.8,0.45,0.2],""1"":[0.2,0.25,0.65,0.1,0.5],""2"":[0.2,0.2,0.6,0.5,0.15],""3"":[0.2,0.2,1.0,0.4,0.45],""4"":[0.1,0.15,0.65,0.35,0.15]}"
16,"{""0"":[0.2,0.3,0.8,0.3,0.3],""1"":[0.2,0.25,0.95,0.05,0.3],""2"":[0.3,0.15,0.6,0.25,0.15],""3"":[0.2,0.2,0.85,0.45,0.15],""4"":[0.1,0.1,0.85,0.2,0.45]}"
17,"{""0"":[0.15,0.15,0.65,0.05,0.4],""1"":[0.2,0.2,0.75,0.45,0.4],""2"":[0.1,0.1,0.9,0.25,0.4],""3"":[0.2,0.25,0.55,0.45,0.45],""4"":[0.35,0.3,0.85,0.3,0.4]}"
18,"{""0"":[0.1,0.35,0.65,0.25,0.5],""1"":[0.3,0.25,0.65,0.1,0.2],""2"":[0.1,0.15,0.8,0.4,0.3],""3"":[0.3,0.1,0.65,0.4,0.15],""4"":[0.2,0.15,0.55,0.25,0.5]}"
19,"{""0"":[0.3,0.25,0.55,0.5,0.1],""1"":[0.1,0.25,0.95,0.3,0.35],""2"":[0.4,0.15,0.5,0.5,0.35],""3"":[0.1,0.25,0.9,0.15,0.2],""4"":[0.1,0.1,0.6,0.1,0.45]}"
20,"{""0"":[0.1,0.25,1.0,0.4,0.1],""1"":[0.15,0.1,0.55,0.45,0.2],""2"":[0.3,0.2,0.55,0.1,0.4],""3"":[0.15,0.2,1.0,0.2,0.15],""4"":[0.3,0.25,0.65,0.3,0.4]}"
21,"{""0"":[0.2,0.2,0.5,0.4,0.25],""1"":[0.15,0.15,0.7,0.4,0.35],""2"":[0.25,0.25,0.65,0.15,0.4],""3"":[0.25,0.2,0.7,0.3,0.3],""4"":[0.15,0.2,1.0,0.05,0.25]}"
22,"{""0"":[0.25,0.15,0.5,0.05,0.3],""1"":[0.1,0.1,0.95,0.05,0.25],""2"":[0.25,0.2,0.85,0.45,0.4],""3"":[0.2,0.25,0.8,0.1,0.25],""4"":[0.2,0.3,0.85,0.05,0.1]}"
23,"{""0"":[0.25,0.3,0.7,0.45,0.35],""1"":[0.35,0.1,0.6,0.2,0.05],""2"":[0.2,0.35,0.65,0.5,0.3],""3"":[0.15,0.15,0.75,0.2,0.15],""4"":[0.05,0.1,0.5,0.1,0.45]}"
24,"{""0"":[0.1,0.2,0.9,0.45,0.5],""1"":[0.05,0.05,0.65,0.45,0.25],""2"":[0.15,0.1,0.9,0.35,0.25],""3"":[0.35,0.3,0.5,0.3,0.15],""4"":[0.35,0.35,0.65,0.35,0.25]}"
25,"{""0"":[0.2,0.05,0.8,0.15,0.2],""1"":[0.1,0.2,0.9,0.35,0.15],""2"":[0.2,0.35,0.8,0.3,0.15],""3"":[0.3,0.15,0.9,0.05,0.45],""4"":[0.2,0.25,0.6,0.25,0.25]}"
26,"{""0"":[0.2,0.2,0.9,0.25,0.15],""1"":[0.1,0.15,0.8,0.1,0.3],""2"":[0.4,0.25,0.9,0.2,0.15],""3"":[0.1,0.15,0.85,0.5,0.35],""4"":[0.2,0.25,0.6,0.4,0.05]}"
27,"{""0"":[0.2,0.3,0.65,0.5,0.3],""1"":[0.25,0.15,0.55,0.2,0.2],""2"":[0.15,0.15,0.95,0.45,0.45],""3"":[0.3,0.2,0.55,0.5,0.15],""4"":[0.1,0.2,0.65,0.05,0.1]}"
28,"{""0"":[0.2,0.2,0.85,0.2,0.1],""1"":[0.05,0.1,0.85,0.3,0.4],""2"":[0.2,0.2,0.95,0.5,0.4],""3"":[0.25,0.25,0.55,0.25,0.4],""4"":[0.3,0.25,0.75,0.5,0.45]}"
29,"{""0"":[0.2,0.35,0.95,0.35,0.45],""1"":[0.15,0.15,0.85,0.15,0.4],""2"":[0.1,0.1,0.55,0.45,0.25],""3"":[0.3,0.25,0.6,0.25,0.35],""4"":[0.25,0.15,0.6,0.4,0.4]}"
30,"{""0"":[0.2,0.1,0.8,0.45,0.45],""1"":[0.25,0.2,0.7,0.25,0.15],""2"":[0.1,0.3,0.8,0.4,0.4],""3"":[0.25,0.1,0.85,0.5,0.5],""4"":[0.2,0.3,0.6,0.1,0.1]}"
31,"{""0"":[0.2,0.3,0.8,0.2,0.15],""1"":[0.2,0.3,0.9,0.5,0.45],""2"":[0.25,0.25,0.7,0.35,0.25],""3"":[0.15,0.1,0.55,0.2,0.25],""4"":[0.2,0.05,0.5,0.45,0.1]}"
32,"{""0"":[0.1,0.2,1.0,0.2,0.5],""1"":[0.2,0.15,0.55,0.5,0.3],""2"":[0.25,0.2,0.9,0.3,0.05],""3"":[0.25,0.1,0.8,0.2,0.4],""4"":[0.2,0.35,0.65,0.05,0.25]}"
33,"{""0"":[0.2,0.1,0.5,0.3,0.4],""1"":[0.35,0.3,0.7,0.05,0.3],""2"":[0.2,0.15,0.85,0.5,0.2],""3"":[0.15,0.2,0.95,0.2,0.45],""4"":[0.1,0.25,0.95,0.1,0.3]}"
34,"{""0"":[0.15,0.2,0.8,0.35,0.35],""1"":[0.2,0.15,0.5,0.05,0.25],""2"":[0.2,0.25,0.65,0.05,0.35],""3"":[0.25,0.2,0.8,0.4,0.3],""4"":[0.2,0.2,0.95,0.5,0.5]}"
35,"{""0"":[0.4,0.2,0.7,0.5,0.4],""1"":[0.15,0.2,1.0,0.45,0.2],""2"":[0.2,0.1,0.75,0.05,0.35],""3"":[0.2,0.25,0.9,0.05,0.4],""4"":[0.05,0.25,0.65,0.4,0.5]}"
36,"{""0"":[0.25,0.25,0.65,0.2,0.45],""1"":[0.25,0.25,0.55,0.5,0.05],""2"":[0.2,0.15,0.95,0.3,0.1],""3"":[0.05,0.1,0.55,0.3,0.25],""4"":[0.25,0.25,0.7,0.2,0.15]}"
37,"{""0"":[0.2,0.1,0.7,0.1,0.15],""1"":[0.1,0.15,0.55,0.2,0.5],""2"":[0.3,0.1,0.9,0.15,0.2],""3"":[0.25,0.3,0.6,0.5,0.35],""4"":[0.15,0.35,0.6,0.05,0.35]}"
38,"{""0"":[0.25,0.2,0.9,0.05,0.45],""1"":[0.1,0.15,0.7,0.2,0.3],""2"":[0.2,0.1,0.65,0.45,0.3],""3"":[0.25,0.45,0.85,0.1,0.45],""4"":[0.2,0.1,0.65,0.4,0.1]}"
39,"{""0"":[0.25,0.2,0.65,0.45,0.3],""1"":[0.15,0.1,0.75,0.35,0.5],""2"":[0.2,0.2,0.6,0.45,0.15],""3"":[0.15,0.2,0.95,0.05,0.35],""4"":[0.25,0.3,0.65,0.2,0.05]}"
40,"{""0"":[0.25,0.3,0.5,0.2,0.2],""1"":[0.15,0.15,0.5,0.15,0.3],""2"":[0.2,0.05,0.6,0.3,0.5],""3"":[0.3,0.3,0.7,0.05,0.05],""4"":[0.1,0.2,0.6,0.15,0.05]}"
41,"{""0"":[0.25,0.3,0.95,0.5,0.2],""1"":[0.15,0.25,0.7,0.1,0.35],""2"":[0.25,0.15,0.65,0.5,0.35],""3"":[0.2,0.1,0.85,0.15,0.1],""4"":[0.15,0.2,0.65,0.25,0.35]}"
42,"{""0"":[0.15,0.25,0.85,0.1,0.1],""1"":[0.15,0.3,0.95,0.5,0.5],""2"":[0.2,0.25,0.9,0.5,0.05],""3"":[0.2,0.05,0.65,0.1,0.5],""4"":[0.3,0.15,1.0,0.3,0.05]}"
43,"{""0"":[0.3,0.2,0.6,0.1,0.1],""1"":[0.25,0.3,0.65,0.5,0.45],""2"":[0.15,0.15,0.8,0.45,0.25],""3"":[0.15,0.25,0.6,0.15,0.3],""4"":[0.15,0.1,0.7,0.05,0.45]}"
44,"{""0"":[0.25,0.2,0.8,0.1,0.2],""1"":[0.25,0.15,0.75,0.25,0.5],""2"":[0.2,0.15,0.8,0.25,0.4],""3"":[0.05,0.25,0.55,0.45,0.4],""4"":[0.25,0.25,0.5,0.15,0.25]}"
45,"{""0"":[0.15,0.25,0.95,0.1,0.3],""1"":[0.1,0.15,0.9,0.45,0.05],""2"":[0.3,0.25,0.95,0.5,0.05],""3"":[0.2,0.2,0.85,0.05,0.25],""4"":[0.25,0.15,0.75,0.25,0.15]}"
46,"{""0"":[0.25,0.15,0.6,0.05,0.15],""1"":[0.1,0.2,0.75,0.05,0.25],""2"":[0.15,0.2,0.95,0.3,0.45],""3"":[0.15,0.25,0.7,0.3,0.2],""4"":[0.35,0.2,0.75,0.4,0.05]}"
47,"{""0"":[0.1,0.3,0.65,0.3,0.5],""1"":[0.25,0.1,0.95,0.5,0.2],""2"":[0.2,0.3,0.5,0.45,0.1],""3"":[0.2,0.15,0.85,0.2,0.35],""4"":[0.25,0.15,0.75,0.45,0.1]}"
48,"{""0"":[0.3,0.2,0.75,0.1,0.15],""1"":[0.25,0.1,0.75,0.35,0.5],""2"":[0.2,0.25,0.6,0.25,0.2],""3"":[0.05,0.15,0.9,0.4,0.05],""4"":[0.2,0.3,0.55,0.35,0.05]}"
49,"{""0"":[0.2,0.1,0.6,0.15,0.2],""1"":[0.15,0.3,0.6,0.45,0.5],""2"":[0.25,0.1,0.85,0.05,0.45],""3"":[0.2,0.15,0.8,0.5,0.35],""4"":[0.2,0.35,0.9,0.2,0.5]}"
50,"{""0"":[0.1,0.15,0.7,0.1,0.2],""1"":[0.2,0.25,0.7,0.25,0.35],""2"":[0.2,0.2,0.55,0.05,0.45],""3"":[0.2,0.3,0.55,0.2,0.3],""4"":[0.3,0.1,0.8,0.4,0.45]}"
51,"{""0"":[0.15,0.25,0.65,0.5,0.5],""1"":[0.15,0.1,0.85,0.05,0.4],""2"":[0.2,0.25,0.55,0.1,0.5],""3"":[0.15,0.2,0.65,0.35,0.4],""4"":[0.35,0.2,0.65,0.2,0.25]}"
52,"{""0"":[0.2,0.2,0.95,0.05,0.45],""1"":[0.35,0.3,0.95,0.4,0.25],""2"":[0.05,0.15,0.9,0.35,0.4],""3"":[0.2,0.25,0.8,0.45,0.1],""4"":[0.2,0.1,0.6,0.45,0.3]}"
53,"{""0"":[0.15,0.1,0.7,0.4,0.15],""1"":[0.2,0.15,0.65,0.45,0.25],""2"":[0.2,0.25,0.65,0.3,0.05],""3"":[0.3,0.15,0.6,0.45,0.2],""4"":[0.15,0.35,1.0,0.25,0.15]}"
54,"{""0"":[0.05,0.2,0.75,0.4,0.5],""1"":[0.2,0.1,0.7,0.05,0.15],""2"":[0.35,0.2,0.85,0.35,0.1],""3"":[0.35,0.25,0.6,0.3,0.05],""4"":[0.05,0.25,0.9,0.1,0.25]}"
55,"{""0"":[0.15,0.2,0.85,0.3,0.05],""1"":[0.2,0.3,0.75,0.15,0.1],""2"":[0.3,0.15,1.0,0.45,0.3],""3"":[0.1,0.2,0.75,0.1,0.4],""4"":[0.25,0.15,0.65,0.4,0.15]}"
56,"{""0"":[0.1,0.25,0.5,0.2,0.5],""1"":[0.25,0.25,0.7,0.2,0.5],""2"":[0.2,0.25,1.0,0.2,0.1],""3"":[0.3,0.1,0.9,0.5,0.05],""4"":[0.15,0.15,0.65,0.35,0.15]}"
57,"{""0"":[0.2,0.2,0.6,0.05,0.1],""1"":[0.25,0.1,1.0,0.45,0.05],""2"":[0.2,0.25,0.9,0.5,0.45],""3"":[0.2,0.3,0.85,0.05,0.35],""4"":[0.15,0.15,0.5,0.15,0.05]}"
58,"{""0"":[0.2,0.2,0.55,0.3,0.35],""1"":[0.15,0.2,0.65,0.5,0.5],""2"":[0.3,0.2,0.55,0.45,0.1],""3"":[0.15,0.2,0.5,0.45,0.1],""4"":[0.2,0.2,0.7,0.35,0.2]}"
59,"{""0"":[0.05,0.15,0.95,0.15,0.35],""1"":[0.4,0.1,0.75,0.35,0.1],""2"":[0.2,0.2,0.8,0.05,0.25],""3"":[0.15,0.25,1.0,0.1,0.45],""4"":[0.2,0.3,0.75,0.4,0.45]}"
60,"{""0"":[0.35,0.2,0.5,0.4,0.3],""1"":[0.15,0.15,0.6,0.05,0.3],""2"":[0.2,0.15,0.7,0.4,0.15],""3"":[0.15,0.3,0.75,0.3,0.25],""4"":[0.15,0.2,0.5,0.4,0.45]}"
61,"{""0"":[0.05,0.2,0.55,0.05,0.05],""1"":[0.25,0.2,0.55,0.3,0.1],""2"":[0.25,0.25,0.55,0.45,0.3],""3"":[0.3,0.25,0.8,0.05,0.5],""4"":[0.15,0.1,0.65,0.3,0.5]}"
62,"{""0"":[0.3,0.1,1.0,0.4,0.15],""1"":[0.15,0.15,0.6,0.1,0.4],""2"":[0.2,0.3,0.55,0.2,0.4],""3"":[0.2,0.35,0.6,0.25,0.4],""4"":[0.15,0.1,0.55,0.4,0.3]}"
63,"{""0"":[0.4,0.1,0.8,0.35,0.1],""1"":[0.05,0.25,0.55,0.25,0.4],""2"":[0.25,0.35,0.85,0.15,0.25],""3"":[0.1,0.1,0.85,0.35,0.25],""4"":[0.2,0.2,0.75,0.05,0.15]}"
64,"{""0"":[0.3,0.15,0.6,0.2,0.15],""1"":[0.25,0.3,0.9,0.45,0.2],""2"":[0.1,0.25,0.8,0.1,0.1],""3"":[0.2,0.25,0.75,0.35,0.25],""4"":[0.15,0.05,0.5,0.2,0.45]}"
65,"{""0"":[0.2,0.1,0.9,0.3,0.45],""1"":[0.2,0.2,0.75,0.15,0.2],""2"":[0.2,0.25,0.65,0.35,0.25],""3"":[0.15,0.15,0.55,0.3,0.1],""4"":[0.25,0.3,0.65,0.5,0.5]}"
66,"{""0"":[0.2,0.25,0.75,0.1,0.45],""1"":[0.3,0.25,1.0,0.25,0.2],""2"":[0.25,0.15,0.8,0.25,0.4],""3"":[0.05,0.15,0.55,0.1,0.25],""4"":[0.2,0.2,0.8,0.1,0.1]}"
67,"{""0"":[0.1,0.1,0.75,0.2,0.45],""1"":[0.2,0.15,0.55,0.3,0.4],""2"":[0.2,0.3,0.65,0.45,0.05],""3"":[0.15,0.35,0.55,0.1,0.25],""4"":[0.35,0.1,0.5,0.5,0.25]}"
68,"{""0"":[0.15,0.15,0.65,0.5,0.35],""1"":[0.25,0.15,1.0,0.1,0.1],""2"":[0.15,0.25,0.75,0.5,0.35],""3"":[0.25,0.15,0.9,0.5,0.3],""4"":[0.2,0.3,1.0,0.35,0.15]}"
69,"{""0"":[0.1,0.1,0.8,0.5,0.3],""1"":[0.2,0.2,0.85,0.05,0.2],""2"":[0.05,0.2,0.8,0.35,0.2],""3"":[0.3,0.2,0.5,0.1,0.3],""4"":[0.35,0.3,0.85,0.2,0.5]}"
70,"{""0"":[0.25,0.1,0.7,0.15,0.4],""1"":[0.1,0.25,1.0,0.35,0.1],""2"":[0.2,0.25,0.65,0.15,0.15],""3"":[0.05,0.2,0.65,0.15,0.25],""4"":[0.4,0.2,0.55,0.5,0.2]}"
71,"{""0"":[0.2,0.15,0.6,0.1,0.3],""1"":[0.1,0.15,0.8,0.25,0.15],""2"":[0.3,0.3,0.75,0.2,0.2],""3"":[0.2,0.15,0.55,0.2,0.5],""4"":[0.2,0.25,0.8,0.15,0.25]}"
72,"{""0"":[0.2,0.1,0.7,0.05,0.1],""1"":[0.2,0.3,0.6,0.1,0.45],""2"":[0.05,0.15,0.75,0.15,0.15],""3"":[0.3,0.2,0.6,0.25,0.2],""4"":[0.25,0.25,0.8,0.15,0.15]}"
73,"{""0"":[0.15,0.3,0.9,0.35,0.3],""1"":[0.25,0.3,0.85,0.25,0.35],""2"":[0.2,0.15,0.6,0.15,0.35],""3"":[0.15,0.1,0.85,0.05,0.1],""4"":[0.25,0.15,0.75,0.05,0.25]}"
74,"{""0"":[0.1,0.15,0.65,0.05,0.2],""1"":[0.1,0.25,0.5,0.2,0.1],""2"":[0.4,0.2,0.7,0.25,0.05],""3"":[0.15,0.2,0.6,0.15,0.3],""4"":[0.25,0.2,0.6,0.3,0.25]}"
75,"{""0"":[0.3,0.2,0.75,0.4,0.1],""1"":[0.1,0.25,0.55,0.35,0.5],""2"":[0.1,0.25,0.85,0.1,0.5],""3"":[0.25,0.1,1.0,0.05,0.4],""4"":[0.25,0.2,0.75,0.05,0.45]}"
76,"{""0"":[0.3,0.35,0.7,0.25,0.05],""1"":[0.05,0.1,0.9,0.35,0.25],""2"":[0.1,0.25,0.8,0.05,0.1],""3"":[0.3,0.1,0.55,0.45,0.35],""4"":[0.25,0.2,0.6,0.15,0.35]}"
77,"{""0"":[0.1,0.1,0.5,0.2,0.5],""1"":[0.15,0.2,0.85,0.25,0.3],""2"":[0.3,0.2,1.0,0.05,0.15],""3"":[0.25,0.25,0.65,0.35,0.25],""4"":[0.2,0.25,0.8,0.35,0.4]}"
78,"{""0"":[0.1,0.2,0.55,0.3,0.25],""1"":[0.2,0.25,0.55,0.2,0.5],""2"":[0.25,0.2,0.65,0.15,0.35],""3"":[0.25,0.25,0.8,0.3,0.15],""4"":[0.2,0.1,0.7,0.1,0.25]}"
79,"{""0"":[0.3,0.15,0.95,0.4,0.45],""1"":[0.15,0.3,1.0,0.45,0.05],""2"":[0.1,0.05,0.65,0.1,0.1],""3"":[0.25,0.15,0.65,0.1,0.2],""4"":[0.2,0.35,0.65,0.05,0.4]}"
80,"{""0"":[0.25,0.25,0.6,0.2,0.2],""1"":[0.25,0.35,0.75,0.15,0.2],""2"":[0.1,0.15,0.95,0.4,0.35],""3"":[0.15,0.15,0.95,0.45,0.3],""4"":[0.25,0.1,0.65,0.35,0.15]}"
81,"{""0"":[0.25,0.2,0.65,0.2,0.1],""1"":[0.2,0.15,0.5,0.3,0.15],""2"":[0.3,0.25,0.75,0.3,0.25],""3"":[0.15,0.2,0.95,0.35,0.4],""4"":[0.1,0.2,0.75,0.5,0.05]}"
82,"{""0"":[0.25,0.15,0.75,0.35,0.05],""1"":[0.25,0.1,0.6,0.2,0.05],""2"":[0.15,0.25,0.6,0.05,0.15],""3"":[0.2,0.2,0.5,0.05,0.35],""4"":[0.15,0.3,0.7,0.05,0.5]}"
83,"{""0"":[0.25,0.3,0.5,0.35,0.35],""1"":[0.3,0.2,0.5,0.35,0.25],""2"":[0.1,0.2,0.85,0.3,0.25],""3"":[0.3,0.1,0.95,0.35,0.25],""4"":[0.05,0.2,0.85,0.3,0.35]}"
84,"{""0"":[0.15,0.2,0.7,0.25,0.05],""1"":[0.2,0.25,0.6,0.45,0.25],""2"":[0.15,0.1,0.85,0.5,0.5],""3"":[0.35,0.35,0.5,0.45,0.45],""4"":[0.15,0.1,1.0,0.5,0.3]}"
85,"{""0"":[0.25,0.2,0.95,0.15,0.3],""1"":[0.2,0.1,0.5,0.05,0.25],""2"":[0.1,0.05,0.6,0.5,0.05],""3"":[0.2,0.4,0.95,0.45,0.05],""4"":[0.25,0.25,0.85,0.5,0.35]}"
86,"{""0"":[0.2,0.2,0.55,0.35,0.45],""1"":[0.15,0.25,0.85,0.5,0.1],""2"":[0.25,0.2,0.95,0.1,0.35],""3"":[0.15,0.2,0.95,0.05,0.15],""4"":[0.25,0.15,0.5,0.3,0.1]}"
87,"{""0"":[0.1,0.2,0.65,0.35,0.15],""1"":[0.2,0.2,0.7,0.5,0.35],""2"":[0.3,0.25,0.65,0.5,0.4],""3"":[0.2,0.1,0.6,0.05,0.3],""4"":[0.2,0.25,0.5,0.4,0.05]}"
88,"{""0"":[0.2,0.25,0.8,0.2,0.4],""1"":[0.15,0.25,0.95,0.05,0.05],""2"":[0.3,0.2,0.85,0.15,0.45],""3"":[0.1,0.15,0.55,0.5,0.2],""4"":[0.25,0.15,0.5,0.05,0.4]}"
89,"{""0"":[0.05,0.05,0.95,0.4,0.45],""1"":[0.2,0.35,0.5,0.35,0.15],""2"":[0.25,0.3,0.95,0.15,0.35],""3"":[0.2,0.05,0.95,0.5,0.45],""4"":[0.3,0.25,0.5,0.3,0.5]}"
90,"{""0"":[0.25,0.1,0.7,0.45,0.05],""1"":[0.15,0.45,0.65,0.25,0.15],""2"":[0.2,0.2,0.55,0.05,0.25],""3"":[0.35,0.1,0.7,0.15,0.35],""4"":[0.05,0.15,0.65,0.45,0.4]}"
91,"{""0"":[0.15,0.2,0.6,0.2,0.2],""1"":[0.25,0.25,0.7,0.4,0.1],""2"":[0.25,0.15,0.95,0.2,0.3],""3"":[0.1,0.35,0.75,0.4,0.15],""4"":[0.25,0.05,0.9,0.4,0.05]}"
92,"{""0"":[0.1,0.15,0.7,0.15,0.2],""1"":[0.2,0.15,0.75,0.4,0.05],""2"":[0.2,0.2,0.5,0.15,0.15],""3"":[0.25,0.3,0.7,0.1,0.4],""4"":[0.25,0.2,0.95,0.45,0.05]}"
93,"{""0"":[0.15,0.3,0.6,0.15,0.2],""1"":[0.15,0.1,0.9,0.05,0.15],""2"":[0.25,0.15,0.5,0.2,0.4],""3"":[0.15,0.35,0.7,0.15,0.4],""4"":[0.3,0.1,0.9,0.05,0.3]}"
94,"{""0"":[0.1,0.15,1.0,0.4,0.1],""1"":[0.2,0.05,0.7,0.4,0.2],""2"":[0.1,0.1,0.9,0.1,0.15],""3"":[0.3,0.35,1.0,0.2,0.35],""4"":[0.3,0.35,0.9,0.2,0.1]}"
95,"{""0"":[0.1,0.15,0.7,0.2,0.2],""1"":[0.15,0.35,0.9,0.25,0.05],""2"":[0.2,0.15,0.6,0.3,0.2],""3"":[0.1,0.25,1.0,0.05,0.2],""4"":[0.45,0.1,0.95,0.4,0.3]}"
96,"{""0"":[0.2,0.05,0.95,0.4,0.5],""1"":[0.2,0.35,0.6,0.3,0.1],""2"":[0.05,0.15,0.55,0.25,0.4],""3"":[0.4,0.35,1.0,0.5,0.45],""4"":[0.15,0.1,0.7,0.3,0.5]}"
97,"{""0"":[0.25,0.15,0.9,0.1,0.05],""1"":[0.15,0.2,0.65,0.1,0.2],""2"":[0.25,0.2,0.75,0.05,0.05],""3"":[0.1,0.15,0.75,0.2,0.2],""4"":[0.25,0.3,0.95,0.5,0.05]}"
98,"{""0"":[0.15,0.2,0.65,0.05,0.45],""1"":[0.2,0.05,0.5,0.05,0.35],""2"":[0.3,0.35,0.5,0.05,0.05],""3"":[0.1,0.2,0.6,0.5,0.2],""4"":[0.25,0.2,0.6,0.5,0.1]}"
99,"{""0"":[0.25,0.25,0.6,0.3,0.25],""1"":[0.15,0.25,0.85,0.2,0.1],""2"":[0.1,0.25,0.85,0.25,0.35],""3"":[0.3,0.2,0.85,0.1,0.35],""4"":[0.2,0.05,0.55,0.4,0.5]}"
100,"{""0"":[0.1,0.15,0.75,0.25,0.05],""1"":[0.3,0.2,0.95,0.4,0.4],""2"":[0.2,0.2,0.7,0.05,0.4],""3"":[0.15,0.35,0.55,0.45,0.45],""4"":[0.25,0.1,0.55,0.45,0.1]}"
